"PlayerID","Player","Squad","League","Nation","Pos","Age","Born","Season","MP","Min","Mn/MP","Min%","Starts","Mn/Start","Subs","Mn/Sub","unSub","90s","Sh","Sh/90","SoT","SoT%","SoT/90","G/Sh","G/SoT","Gls","Ast","G+A","PK","PKatt","PKcon","OG","xG","npxG","npxG/Sh","G-xG","np:G-xG","Pass","Cmp","Cmp%","PassLive","PassDead","KP","Crs","CrsPA","A-xAG","xAG","xA","PPA","Live","Dead","FK","TB","Sw","TI","CK","In","Out","Str","Compl","PPM","Mis","Tkl","TklW","Tkl%","Tkld","Tkld%","Tkl+Int","Int","Blocks","Clr","Fls","Recov","Def","Def 3rd","Mid 3rd","Att 3rd","Att","Att Pen","Off","Dis","Won","Won%","Lost","+/-","+/-90","On-Off","onG","onGA","onxG","onxGA","xG+/-","xG+/-90","SCA","SCA90","PrgC","PrgDist","PrgP","PrgR","Rec","Carries","CPA","Touches","Dist","TotDist","Ballon d or","European Golden Shoe","League Won","UCL_Won","The Best FIFA Mens Player","UEFA Best Player","UCL_MP","UCL_Gls","UCL_xG","UCL_Ast","UCL_xA","UCL_KP","UCL_GCA","UCL_SCA"
"2539",Manuel Neuer,Bayern Munich,Bundesliga,GER,GK,"39","1986","2025-2026",9.0,810.0,90.0,90.0,9.0,90.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,81.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,51.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.89,-0.11,32.0,6.0,22.5,6.0,16.5,1.83,2.0,0.22,0.0,5322.0,2.0,0.0,248.0,274.0,0.0,387.0,0.0,7886.0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"2650",Edin Džeko,Fiorentina,Serie A,BIH,FW,"39","1986","2025-2026",10.0,222.0,22.0,22.4,2.0,52.0,8.0,15.0,1.0,2.5,0.0,1.62,1.0,25.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,0.0,57.0,73.1,1.0,0.0,2.0,1.0,1.0,-0.4,0.4,0.1,2.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,1.0,1.0,100.0,3.0,60.0,2.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,3.0,18.0,66.7,0.0,-3.0,-1.22,-0.51,2.0,5.0,4.4,4.3,0.0,0.02,4.0,1.61,3.0,135.0,7.0,15.0,82.0,53.0,1.0,106.0,11.3,849.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2747",Sven Ulreich,Bayern Munich,Bundesliga,GER,GK,"37","1988","2025-2026",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2789",Dante,Nice,Ligue 1,BRA,DF,"42","1983","2025-2026",2.0,139.0,70.0,12.9,2.0,70.0,0.0,0.0,0.0,1.5,2.0,1.29,1.0,50.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,79.0,90.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,12.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,7.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,100.0,2.0,3.0,1.94,2.33,4.0,1.0,1.9,2.6,-0.7,-0.45,2.0,1.29,0.0,629.0,4.0,0.0,70.0,54.0,0.0,100.0,24.2,1386.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2845",Pascal Groß,Dortmund,Bundesliga,GER,MF,"34","1991","2025-2026",9.0,508.0,56.0,56.4,6.0,80.0,3.0,10.0,1.0,5.6,0.0,1.42,1.0,12.5,0.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,14.0,351.0,83.8,19.0,4.0,10.0,22.0,5.0,0.0,1.0,2.2,16.0,387.0,32.0,11.0,1.0,1.0,3.0,12.0,3.0,4.0,0.0,1.0,2.0,11.0,6.0,4.0,33.3,1.0,20.0,10.0,4.0,14.0,6.0,9.0,22.0,0.0,1.0,4.0,1.0,6.0,17.0,0.0,6.0,3.0,42.9,4.0,3.0,0.53,-0.85,7.0,4.0,7.7,5.1,2.6,0.47,25.0,4.43,12.0,1701.0,57.0,47.0,364.0,293.0,0.0,471.0,17.9,6107.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.2,1.0,1.0,2.0
"2924",David Alaba,Real Madrid,La Liga,AUT,DF,"33","1992","2025-2026",3.0,57.0,19.0,5.3,1.0,45.0,2.0,6.0,7.0,0.6,2.0,1.58,1.0,100.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,-1.41,0.0,0.0,0.8,0.3,0.5,0.8,1.0,1.58,1.0,324.0,2.0,0.0,43.0,23.0,0.0,58.0,31.9,800.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2983",Mario Götze,Eint Frankfurt,Bundesliga,GER,MF,"33","1992","2025-2026",7.0,200.0,29.0,22.2,0.0,0.0,7.0,29.0,1.0,2.2,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.14,-0.3,-0.3,1.0,91.0,78.4,4.0,3.0,5.0,9.0,1.0,-0.8,0.8,0.8,2.0,105.0,11.0,0.0,1.0,0.0,3.0,7.0,2.0,5.0,0.0,0.0,2.0,6.0,4.0,2.0,33.3,1.0,33.3,6.0,2.0,2.0,1.0,0.0,17.0,0.0,2.0,1.0,1.0,6.0,7.0,0.0,3.0,0.0,0.0,4.0,-5.0,-2.25,-3.41,2.0,7.0,2.5,3.2,-0.7,-0.3,7.0,3.15,0.0,379.0,5.0,14.0,88.0,68.0,0.0,143.0,16.3,1353.0,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
"2994",Oliver Baumann,Hoffenheim,Bundesliga,GER,GK,"35","1990","2025-2026",10.0,900.0,90.0,100.0,10.0,90.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,74.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,340.0,60.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,100.0,2.0,5.0,0.5,0.0,21.0,16.0,16.4,15.6,0.8,0.08,2.0,0.2,0.0,5688.0,1.0,0.0,251.0,243.0,0.0,432.0,0.0,7702.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3038",İlkay Gündoğan,Manchester City,Premier League,GER,MF,"35","1990","2025-2026",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,0.3,0.0,0.2,5.0,0.0,8.0
"3096",Kevin Trapp,Paris FC,Ligue 1,GER,GK,"35","1990","2025-2026",2.0,180.0,90.0,16.7,2.0,90.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,72.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5,4.0,2.0,4.2,2.6,1.5,0.77,0.0,0.0,0.0,989.0,0.0,0.0,47.0,45.0,0.0,89.0,0.0,1563.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
