name,market_value_in_eur
James Milner,1000000
Anastasios Tsokanis,300000
Jonas Hofmann,3000000
Pepe Reina,600000
Lionel Carole,400000
Ludovic Butelle,100000
Daley Blind,2000000
Niki Mäenpää,50000
Craig Gordon,100000
Dimitrios Sotiriou,75000
Ashley Young,500000
Scott Carson,200000
Raúl Albiol,1300000
Igor Akinfeev,1000000
Dante,500000
Casemiro,12000000
Oleg Ivanov,100000
Kasper Schmeichel,750000
Manuel Neuer,4000000
Oleksandr Rybka,100000
Jesper Hansen,100000
Thomas Mikkelsen,25000
Steve Mandanda,700000
Ricardo Batista,100000
Remko Pasveer,150000
Rúben Fernandes,100000
Iván Cuéllar,100000
Mikhail Kerzhakov,300000
Daniele Padelli,150000
Luka Modric,5000000
Denis Petric,100000
Edin Džeko,2000000
João Moutinho,600000
Guillermo Ochoa,800000
Lukasz Fabianski,700000
John Ruddy,200000
Kenneth Vermeer,50000
Oscar Trejo,800000
Jonathan de Guzmán,100000
Norman Theuerkauf,175000
Tobias Sippel,300000
Armando Izzo,2500000
Przemyslaw Tyton,100000
Lorenzo De Silvestri,400000
Vito Mannone,200000
José Fonte,100000
Sinan Bolat,200000
Asmir Begovic,300000
Tom Heaton,250000
Lasse Schöne,100000
Axel Witsel,2500000
Vieirinha,250000
Dušan Tadić,2500000
Sascha Burchert,200000
Dejan Lovren,800000
Robert Lewandowski,15000000
Vítor Gomes,100000
Borna Barisic,1000000
Caner Erkin,150000
Mats Hummels,2500000
Jens Grahl,200000
Alexis Sánchez,2000000
Roman Neustädter,200000
Milan Badelj,800000
Sven Ulreich,500000
Mathieu Valbuena,100000
Trevor Carson,100000
Ricky van Wolfswinkel,450000
Marko Arnautovic,3500000
Yann Sommer,4000000
Jonny Evans,1500000
Ivan Perisic,1500000
Toby Alderweireld,2200000
Jo Coppens,200000
Sven Kums,300000
Lasse Nielsen,75000
Jan Vertonghen,1000000
Adam Lallana,900000
Kevin Müller,1000000
Adam Legzdins,50000
Wojciech Szczesny,1000000
Miralem Pjanić,2500000
Anders Jacobsen,200000
Serdar Aziz,100000
Rui Patrício,1000000
Mario Balotelli,500000
Ángel Di María,3000000
James McCarthy,100000
André Ayew,700000
Wayne Hennessey,175000
Björn Kopplin,100000
Cenk Tosun,1200000
Kevin Trapp,3000000
Manuel Gulde,800000
Nenê,50000
Domagoj Vida,900000
Ante Budimir,5000000
Andrej Kramaric,4000000
Aleksandr Dovbnya,50000
Lukas Hradecky,2000000
Artem Dzyuba,1800000
Danijel Aleksic,600000
Jonas Lössl,200000
Timothy Chandler,350000
Simon Mignolet,1500000
Fedor Smolov,1500000
Efecan Karaca,300000
Rizvan Utsiev,50000
Mateo Kovacic,25000000
Mert Günok,1200000
Pavao Pervan,300000
Patrick van Aanholt,600000
Volkan Babacan,50000
Güray Vural,100000
Fraser Forster,1200000
Willian,1000000
Kevin Kampl,3000000
İlkay Gündoğan,7000000
Lars Unnerstall,3000000
Steven Vitória,100000
Nicolás Otamendi,1000000
Matteo Darmian,4000000
Oliver Baumann,3000000
Nicolas Höfler,700000
Lewis Holtby,500000
Hasan Ali Kaldırım,100000
Henrikh Mkhitaryan,4000000
Danilo D'Ambrosio,800000
Leon Balogun,150000
Dries Mertens,1500000
Jeremy Bokila,100000
Michiel Kramer,150000
Juan Neira,125000
Aaron Meijers,100000
Péter Gulácsi,2500000
Joeri de Kamps,175000
César Azpilicueta,1800000
Iván Marcano,200000
Vitus Eicher,250000
Fernando Muslera,1000000
Thomas Müller,6000000
Oleksiy Palamarchuk,250000
Rúben Lima,100000
Giorgiy Shelia,400000
Junior Hoilett,100000
Anthony Jung,1000000
David Alaba,10000000
Gernot Trauner,3000000
Miguel Lopes,50000
Oleksandr Karavaev,1500000
Cristhian Stuani,1200000
David de Gea,5000000
Andy Halliday,200000
Dani Parejo,2000000
Denis Odoi,300000
Jorge Teixeira,50000
Ruslan Chernenko,200000
Dmytro Khomchenovskyi,200000
Taras Stepanenko,1100000
Mathieu Gorgelin,200000
Anthony Lopes,1500000
Brian Hämäläinen,50000
Sergey Pesjakov,400000
Jordan Henderson,3500000
Wes Foderingham,900000
Marco Matias,100000
Yuri Berchiche,1500000
Adam Smith,1000000
Andros Townsend,1000000
Federico Macheda,250000
James Tavernier,3000000
Nicky Clark,150000
Abdoulaye Bamba,350000
Aleksandr Belenov,200000
Daniel Wass,800000
Vasilios Lampropoulos,250000
Andreas Vasilogiannis,150000
Tomas Vaclik,400000
Yannick Thoelen,200000
Kostas Lamprou,250000
Pedro Moreira,100000
Vicente Guaita,800000
Leonardo Pavoletti,700000
Pedro,1000000
Oriol Romeu,1800000
Danny Welbeck,5000000
Milan Djuric,1500000
Séamus Coleman,500000
Martín Montoya,600000
Mauro Icardi,11000000
Andriy Yarmolenko,1500000
Patrick Mortensen,400000
Christian Eriksen,6000000
Nicolai Boilesen,200000
Artur Nigmatullin,600000
Anton Zabolotnyi,750000
Ondrej Celustka,75000
David Simão,200000
Darko Lazović,1000000
Raffaele Di Gennaro,300000
Bogdan Kogut,100000
Adrián,500000
Iago Aspas,2500000
Frederik Gytkjaer,350000
Geoffrey Lembet,150000
Rafael Tolói,1500000
Bernd Leno,11000000
Luuk de Jong,3000000
Guillaume François,150000
Nélson Oliveira,500000
Lucas Pérez,500000
Javier Matilla,100000
Ørjan Nyland,1000000
Jason Steele,2000000
Nikolaos Kaltsas,250000
Duván Zapata,4000000
Davide Faraoni,1000000
Koke,10000000
Pablo Sarabia,7000000
Nemanja Gudelj,3500000
İsmail Köybaşı,50000
Nemanja Matic,2500000
Ben Mee,900000
Mario Götze,5000000
Marc-André ter Stegen,15000000
Francis Coquelin,1000000
Martin Dúbravka,1000000
Carlo Pinsoglio,200000
Robin Olsen,1500000
Niclas Füllkrug,12000000
Miiko Albornoz,100000
Christopher Trimmel,600000
Taison,450000
Alexander Meyer,800000
Christian Gytkjaer,700000
Tjaronn Chery,500000
Kiko Femenía,1200000
Rajiv van La Parra,250000
Ehsan Hajsafi,400000
Necip Uysal,500000
Brice Maubleu,300000
Derrick Tshimanga,100000
Anthony Moris,1800000
Gary Mackay-Steven,150000
Jeroen Zoet,400000
Fodé Koita,75000
Erik Schouten,250000
Eloy Room,250000
Stefan Schwab,800000
Simon Zoller,300000
Aïssa Mandi,1500000
Mykyta Shevchenko,200000
Graham Carey,150000
Lukasz Skorupski,2500000
Christian Kabasele,1000000
Kevin Volland,1800000
Nicola Sansone,400000
Ivo Pinto,350000
Stefan Bell,800000
Bryan Linssen,450000
Aridane Hernández,400000
Pascal Groß,7000000
Benjamin André,6000000
Kevin Vogt,2000000
Aleksandr Erokhin,300000
João Aurélio,75000
Timo Horn,800000
James Forrest,500000
Nathaniel Clyne,1500000
Isco,6000000
Soner Aydoğdu,125000
Iván Balliu,1500000
Sergi Roberto,2000000
Nicolas Viola,1000000
Marco Silvestri,500000
Niklas Lomb,250000
Scott Bain,200000
Stefan Lainer,1800000
Gerrit Nauber,450000
Danny da Costa,1500000
Stefan Ortega,9000000
Richard Marcone,250000
Antonio Rüdiger,24000000
Ricardo Rodríguez,2500000
Fredy,325000
Alexandros Paschalakis,600000
Veysel Sarı,125000
Mauro Vigorito,150000
Andreas Albers,300000
Luca Caldirola,800000
Mattia De Sciglio,1000000
Antonio Donnarumma,300000
Kevin De Bruyne,27000000
Artem Kychak,50000
Rasmus Falk,650000
Yaroslav Rakitskyi,400000
Edisson Jordanov,300000
Daniel Batz,350000
Eliaquim Mangala,350000
Joshua King,2000000
Marley Watkins,150000
Kian Hansen,200000
Oleksandr Sklyar,150000
Heung-min Son,30000000
Thomas Delaney,2000000
Barry Douglas,100000
Ertuğrul Taşkıran,75000
Trigueira,75000
Juan Cuadrado,1000000
Mats Rits,2200000
Nicolai Larsen,300000
Aaron Cresswell,700000
Joel Ward,600000
Kelvin Leerdam,150000
Sergi Gómez,900000
Nick Viergever,400000
Aleksandr Zotov,200000
Henrik Dalsgaard,300000
Lukas Kübler,2000000
Mario Engels,600000
Christian Günter,4000000
Alexandre Lacazette,8000000
Willi Orbán,10000000
Alexander Schwolow,700000
Steven Skrzybski,1000000
Leonardo Bittencourt,2000000
Kike García,900000
Sead Kolasinac,10000000
Patrick Drewes,800000
Tolga Ciğerci,200000
Erik Marxen,100000
Filip Djuricic,1500000
Marko Dmitrovic,800000
Stephan El Shaarawy,5000000
Bogdan Butko,150000
Ruslan Babenko,300000
Kyle Walker,6000000
Darko Brasanac,600000
Tom van Weert,250000
Kieran Trippier,5000000
Graeme Shinnie,300000
Alex McCarthy,500000
Pedro Conde,125000
Pietro Terracciano,1500000
Romelu Lukaku,22000000
Óscar de Marcos,1500000
Sebastian Mladen,400000
Jeppe Grønning,250000
Zander Clark,400000
Zeki Yavru,300000
Serdar Gürler,300000
Daniel Høegh,250000
Jannik Vestergaard,3000000
Rubén Pardo,600000
Portu,2500000
Markus Kolke,300000
Pylyp Budkivskyi,400000
Marc Bartra,1000000
William Carvalho,2000000
Thomas Meunier,2000000
Joel Robles,600000
Jorginho,8000000
Nicklas Helenius,250000
Thorgan Hazard,3000000
Leandro Cabrera,1000000
Sergey Petrov,500000
Wahbi Khazri,1500000
Jannich Storch,100000
Michail Antonio,1000000
Jordy Clasie,2000000
Théo Defourny,400000
Bram Nuytinck,450000
Christian Sørensen,400000
Alisson,25000000
